Time [s], Analyzer Name, Decoded Protocol Result
17.936602000000001,HDMI CEC,Start Sequence
17.941068000000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='11' (0xB) (Player3)
17.960132999999999,HDMI CEC,End of Message = 1
17.962516000000001,HDMI CEC,Acknowledgment = 0
18.901277499999999,HDMI CEC,Start Sequence
18.905745499999998,HDMI CEC,Header SRC='0' (0x0) (TV), DST='12' (0xC) (Reserved1)
18.924812500000002,HDMI CEC,End of Message = 1
18.927195999999999,HDMI CEC,Acknowledgment = 0
18.936731000000002,HDMI CEC,Start Sequence
18.941198000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST='12' (0xC) (Reserved1)
18.960261500000001,HDMI CEC,End of Message = 1
18.962644500000000,HDMI CEC,Acknowledgment = 0
19.179746500000000,HDMI CEC,Start Sequence
19.184215999999999,HDMI CEC,Header SRC='0' (0x0) (TV), DST='15' (0xF) (Unreg/Bcast)
19.203285000000001,HDMI CEC,End of Message = 0
19.205667999999999,HDMI CEC,Acknowledgment = 0
19.208050499999999,HDMI CEC,Opcode '130' (0x82) (ActiveSource)
19.227117499999999,HDMI CEC,End of Message = 0
19.229500999999999,HDMI CEC,Acknowledgment = 0
19.250952500000000,HDMI CEC,End of Message = 0
19.253335000000000,HDMI CEC,Acknowledgment = 0
19.274777499999999,HDMI CEC,End of Message = 1
19.277159500000000,HDMI CEC,Acknowledgment = 0
19.901023500000001,HDMI CEC,Start Sequence
19.905491999999999,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\r (0xD) (Reserved2)
19.924561000000001,HDMI CEC,End of Message = 1
19.926945000000000,HDMI CEC,Acknowledgment = 0
19.936488000000001,HDMI CEC,Start Sequence
19.940960000000000,HDMI CEC,Header SRC='0' (0x0) (TV), DST=\r (0xD) (Reserved2)
19.960039500000001,HDMI CEC,End of Message = 1
19.962424500000001,HDMI CEC,Acknowledgment = 0
21.959214500000002,HDMI CEC,Start Sequence
21.963678000000002,HDMI CEC,Header SRC='0' (0x0) (TV), DST='14' (0xE) (FreeUse)
21.982729500000001,HDMI CEC,End of Message = 1
21.985112000000001,HDMI CEC,Acknowledgment = 0
21.994642500000001,HDMI CEC,Start Sequence
21.999109000000001,HDMI CEC,Header SRC='0' (0x0) (TV), DST='14' (0xE) (FreeUse)
22.018168500000002,HDMI CEC,End of Message = 1
22.020551000000001,HDMI CEC,Acknowledgment = 0
